"proj_title","proj_lead","proj_inst","proj_detail"
"Antibody response to SARS-CoV-2 in people with multiple sclerosis treated with B cell depleting therapies","Lead Investigator: Alfred Anzalone","Accessing Institution: University of Nebraska Medical Center","We aim to investigate IgG antibody response to SARS-CoV-2 in patients with multiple sclerosis who are being treated with B-cell depleting therapies such as rituximab and ocrelizumab given B-cell deleting therapies may impair or blunt antibody response to SARS-CoV-2 infection and impact future vaccine readiness."
"Antithrombotic therapies in COVID-19","Lead Investigator: Ivy Benjenk","Accessing Institution: George Washington University","Coronavirus disease-2019 (COVID-19) is associated with hypercoagulability and increased thrombotic risk in critically ill patients. There is increasing evidence that anti-thrombotics may be associated with improved outcomes in hospitalized COVID19 patients, however all previous retrospective studies have had small patient populations. Additionally, there is conflicting information on what anti-thrombotics and what doses (e.g. therapeutic anticoagulation vs. prophylactic anticoagulation) are best at balancing clinical benefits and potential adverse effects. By harnessing the tremendous volume of observations in the NC3 collaborative, we believe that we can answer some of these questions."
"Assessing COVID Re-infection Risk Factors","Lead Investigator: Shawn ONeil","Accessing Institution: Oregon State University","This project aims to identify risk factors associated with identified COVID re-infections, especially those associated with available demographic factors (age, sex, race, ethnicity) and chronic medical conditions (e.g. diabetes, heard disease, neurological conditions, asthma, COPD, anemia)."
"Assessing Temporal Lab Value Changes and Medications as Predictors of Health Outcomes for COVID19+ Patients (Level 3)","Lead Investigator: Michael Patton","Accessing Institution: University of Alabama at Birmingham","Despite significant recent advances in defining the molecular pathophysiology of SARS-CoV2, healthcare professionals still lack a set of easily orderable clinical tests that can predict severity of disease and/or high mortality outcomes in COVID19+ patients. In order to identify predictive trends, we will conduct a temporal analysis of key biometric and laboratory value changes with respect to critical outcome timepoints:1) First COVID19 positive test2) First admission to a critical care unit3) Respiratory failure & first required use of mechanical ventilation4) Thrombotic events5) Sepsis onset6) Hospital discharge or patient expirationParallel to the analysis of predictive biomarkers, we will further expand our investigation by stratifying patient cohorts by select pre-existing conditions and use of select medications to determine their effect on high mortality outcomes."
"Assessing Temporal Lab Value Changes and Medications as Predictors of Health Outcomes for COVID19+ Patients","Lead Investigator: Michael Patton","Accessing Institution: University of Alabama at Birmingham","Despite significant recent advances in defining the molecular pathophysiology of SARS-CoV2, healthcare professionals still lack a set of easily orderable clinical tests that can predict severity of disease and/or high mortality outcomes in COVID19+ patients.  In order to identify predictive trends, we will conduct a temporal analysis of key biometric and laboratory value changes with respect to critical outcome timepoints: 1) First COVID19 positive test  2) First admission to a critical care unit 3) Respiratory failure & first required use of mechanical ventilation 4) Thrombotic events 5) Sepsis onset 6) Hospital discharge or patient expirationParallel to the analysis of predictive biomarkers, we will further expand our investigation by stratifying patient cohorts by select pre-existing conditions and use of select medications to determine their effect on high mortality outcomes."
"Assessment of correlations between risk factors and symptom presentation among defined at-risk groups ","Lead Investigator: Jamie Henzy","Accessing Institution: Northeastern University","We propose to use COVID patient data to find any associations between factors such as age, gender, comorbidities and COVID symptoms or symptom length. For example, do immunocompromised patients with COVID more frequently experience nausea? We'll take an exploratory approach using statistical methods and visualization techniques appropriate to multidimensional data sets. Any correlations identified may allow us to find patterns in disease presentation specific to a given population, informing treatment regimens and precautions."
"Association between duration of Heated High Flow and Non-Invasive Ventilation and duration of Mechanical Ventilation in COVID-19 Patients who require Invasive Mechanical Ventilation","Lead Investigator: David Douin","Accessing Institution: University of Colorado Anschutz Medical Campus","An increasing number of COVID-19 patients are avoiding invasive mechanical ventilation by utilizing both heated high flow nasal cannula (HHFNC) and non-invasive ventilation (NIV) such as BiPAP and CPAP. However, many patients fail these oxygenation modalities and still require invasive mechanical ventilation. Patients who fail HHFNC and NIV may have an increased work of breathing during. This may make them more vulnerable to ventilator induced lung injury than those who were intubated earlier in their disease course. We hypothesize increased duration of HHFNC or NIV in patients who later require invasive mechanical ventilation is associated with increased duration of invasive mechanical ventilation."
"Association between GLP1 receptor agonist (GLP1-RA) and sodium glucose co-transporter 2 inhibitor (SGLT2i) use and COVID-19 outcomes: A national retrospective cohort study","Lead Investigator: Trine Julie Abrahamsen","Accessing Institution: Novo Nordisk","Emerging evidence from the COVID-19 pandemic suggest that patients with type 2 diabetes comprise a significant portion of the affected population and are at higher risk for severe outcomes including hospitalization and death yet it remains largely unknown how pre-morbid medication may impact outcomes of COVID-19 in patients with type 2 diabetes. Several medications have biologically plausible mechanisms with relevance for patients with diabetes among others including ACE inhibitors, metformin, and DPP4-inhibitors. Recent large cardiovascular outcome trials and subsequent metanalyses have demonstrated that some glucagon-like peptide-1 receptor agonists (GLP-1RA) and sodium-glucose-linked cotransporter 2 inhibitors (SGLT2i) are associated with a reduction of cardiovascular events and all-cause mortality among the same high-risk populations who show higher susceptibility to severe COVID-19 and increased mortality. Yet, no studies have examined the class effect of these newer anti-hyperglycemic of mortality and other outcomes in the setting of COVID-19 infection. These data are critical because therapeutics represent a highly actionable intervention point to improve outcomes from both the inpatient and outpatient setting for a large population of patients with inherently high risk for COVID-19 associated mortality. To address this gap and inform evolving care guidelines for patients with medication-managed type 2 diabetes during the COVID-19 pandemic, this study aims to characterize the association of use of GLP1-RA and SLGT2i with COVID-19 outcomes using real world data from the National COVID Cohort Collaborative (N3C). We will consider the well-studied and commonly used class of dipeptidyl peptidase-4 inhibitors (DPP4i) as the active comparator drug to avoid confounding by indication."
"Association of Dupilumab with Protection from COVID-19 Respiratory Failure","Lead Investigator: Johanna Loomba","Accessing Institution: University of Virginia","We hypothesize that IL-13 is a cause of acute hypoxic respiratory failure in COVID-19 by inducing type 2  inflammation in the lung.  This study will explore Dupilumab rates of use and outcomes in COVID positive patients.  This is a feasibility study using de-identified data."
"autoimmune diseases as COVID-19 comorbidities ","Lead Investigator: Adam Godzik","Accessing Institution: University of California, Riverside","Negative outcomes of COVID-19 are strongly correlated with age, male sex and comorbidities such as diabetes or COPD are well documented and studied in literature. There is no comparable consensus on an effect of autoimmune diseases on COVID-19 outcomes. In this project we propose to study a correlation between several autoimmune diseases and the medications used to treat them on the infection rates and outcomes of COVID-19"
"Automated exploratory subgroup analysis to identify vulnerable subgroups and examine heterogeneous treatment effects of interventions in COVID-19","Lead Investigator: AMOL RAJMANE","Accessing Institution: IBM","The overarching goal of this research is to evaluate variations of care associated with Covid-19 outcomes and related interventions. Our specific objectives are threefold. First, we aim to identify subgroups (possibly spanning an arbitrary number of features including patient history and co-morbidities) that have much higher rates of adverse events (critical disease, mortality), as compared to the average rate across all sampled Covid-19 patients. Second, we aim to examine the heterogeneous treatment effects of different Covid-19 treatment strategies to identify the subgroups of Covid-19 patients whose outcomes are most impacted by the treatments.  Third, we aim at demonstrating how the subgroup insights can be used to improve the prediction and granularity of dynamical Covid-19 disease models.Subgroup analyses are common techniques that can be used to identify non-random variations of care among Covid-19 patients. However, to conduct subgroup analyses, researchers often have to specify their objectives and reasons for subgroup analysis a priori, define the subgrouping variables upfront, and correct for the multiple comparisons problem. Unfortunately, conventional approaches for conducting subgroup analyses require domain expertise and, more importantly, limit researchers to analyzing only a few variables, beyond which it becomes computationally infeasible. Furthermore, these approaches lack a ?data-driven knowledge discovery? aspect as investigators must suggest a priori which subgrouping variables they would like to investigate. Our methodological goal is to address the limitations of conventional subgroup analysis approaches by extending subset scanning techniques from the anomalous pattern detection literature to support insight discovery through an automated exploratory subgroup analysis approach."
"Benchmarking Generative Adversarial Network (GAN) based synthetic EHR data generation methods for enabling COVID-19 research","Lead Investigator: Justin Guinney","Accessing Institution: Sage Bionetworks","The goal of this project is to benchmark existing Generative Adversarial Network (GAN) based algorithms for generating synthetic feature sets to predict COVID-19 caused hospitalization and to establish the standards for assessing the quality of synthetic data. We will preprocess the N3C de-identified dataset to a feature set including patients? demographics, condition, procedure and drug code and apply GAN models on this feature set to generate synthetic data. We will assess the quality of synthetic data in terms of its statistical resemblance to real data, its utility for making hospitalization predictions, as well as privacy risks. This work complements - and will be coordinated with - the Synthetic Data workstream."
"Burden of COVID-19 Pandemic in US Patients with Chronic Obstructive Pulmonary Disease: a National Study Using the N3C Data Enclave","Lead Investigator: Paul Reyfman","Accessing Institution: Northwestern University","Observational studies have suggested that chronic obstructive pulmonary disease (COPD) is a risk factor for worse outcomes from COVID-19 pneumonia, including more severe disease, greater risk of respiratory failure, and greater risk of mortality. We would like to use the National COVID Cohort Collaborative (N3C) dataset (limited dataset) to assess the burden of COVID-19 in patients with COPD compared with patients without COPD using clinical data from large a multi-site observational cohort in the United States."
"Cardiovascular Complications of COVID-19","Lead Investigator: Johanna Loomba","Accessing Institution: University of Virginia","This study is aimed to assess the cardiovascular and pulmonary complications in patients suffering from COVID-19. The results of this study will help health-care providers assess the severity and prevalence of COVID-related complications and risk-stratify the patients accordingly.  The clinical impact of this work is expected to be a better understanding of mechanisms associated with adverse events from COVID-19. The long-term impact could be determination of approaches to improve outcomes for these patients in the future."
"Cardiovascular differences amongst different racial groups who have been exposed to COVID-19","Lead Investigator: Nicholas Garcia","Accessing Institution: University of California, Irvine","We are currently aware that COVID-19 affects the pulmonary and cardiovascular system during infection and post-infection. This study aims to look deeper into the specific cardiovascular complications that affect patients who have been exposed to COVID-19 (i.e. changes in blood pressure, heart rate, RBC, platelets, etc). Considering that the pandemic has caused patients to postpone their regular visits with their cardiologist, we believe this analysis can help clinicians understand how to care for patients with cardiovascular complications post-pandemic. This study can also help us understand which patients may be at greater risk for future, greater cardiovascular complications.More importantly, we aim to stratify the data and analyze the cross-section of cardiovascular health and racial differences. This is really important due to recent public health studies showing that minority communities are more negatively affected by the pandemic. This focused racial analysis can help clinicians find more personalized treatments for patients and could help highlight the need for greater COVID relief to at-risk communities."
"Case-Control Studies of Medications and Their Possible Associations with COVID-19 Severity","Lead Investigator: Alejandro Schaffer","Accessing Institution: National Cancer Institute","Project Summary: The current COVID-19 pandemic, which began in China in last December, has already caused over 1 million deaths world-wide (1). This is an unprecedented threat, to which scientists must find a response, using all the resources which can be made available. The Cancer Data Science Lab, led by Prof. Eytan Ruppin, M.D., Ph.D. in the National Cancer Institute (henceforth the CDSL), specializes in the application of data science tools, and in particular computational biology and systems biology, in order to identify better diagnostics, better treatments, and prevention strategies to cancer and other preventable diseases. I am a Staff Scientist in the CDSL.We have established a collaboration with Dr. Ariel Israel, M.D., Ph.D. in Clalit Health Services (CHS), the largest health insurer in Israel which has over 4.5 million members. Our goal is to harness this unique resource to identify preventable risk factors for COVID-19 and possible treatments. CHS' database has already served to show the strong link between vitamin D deficiency and the rate of SARS-CoV-2 infection and disease severity.In our most recent collaborative work, we have systematically analyzed the CHS database to identify drugs which when acquired in the month before SARS-CoV-2, decrease the risk of severe disease and hospitalization. In this analysis, we have identified a few medications, like ezetimide, rosuvastatin, ubiquinone and fleicanide, which we found to be associated with a significantly decreased risk of hospitalization.  Combining these epidemiological findings, with patterns of gene expression following coronavirus infection, we came to identify the very specific pathways and molecular mechanisms which are targeted by the virus, and the mechanisms by which these drugs prevent severe disease.Reproducing and analyzing data from different populations is of crucial importance to establish the validity of epidemiologic results. In this application, we request access to N3C data in order to replicate and extend our understanding of preventable risk factors for severe COVID-19."
"Causal comparative effectiveness analysis of COVID-19 treatment strategies","Lead Investigator: Liangyuan Hu","Accessing Institution: Icahn School of Medicine at Mount Sinai","The COVID-19 pandemic is an evolving crisis threatening global health and economies. Public health experts believe that this pandemic has no true precedent in modern times. To this date, optimal treatment strategies, including treatment classes (e.g., anticoagulant drugs, anti-inflammatory drugs, corticosteroids, etc.) and treatment timing are still unclear. Several national and international randomized controlled trials (RCT) are being conducted to compare the effect of one or two treatment strategies. It is infeasible, however, especially in a time of crisis, to conduct RCT to investigate all possible treatment strategies. In addition, RCT inclusion and exclusion criteria often limit generalizability to frail populations, precisely the demographic most at risk of severe morbidity and mortality. We aim to leverage the continuously growing COVID-19 data collected across the nation to validate and compliment the randomized trials. We will conduct in-depth investigations of the comparative effectiveness of multiple treatment options and the treatment interactions therein (as many patients take more than one type of medications at the same time) in real-world settings. Furthermore, research is needed to understand heterogeneity in effectiveness of COVID-19 treatments in vulnerable subgroups of patients.  The most vulnerable patients include frail elderly, disadvantaged racial groups, and those who have immune suppression, like patients with cancer, HIV, organ transplant, or users of immunosuppressing medications. This project has two aims. In Aim 1, we will develop i) a continuous-time joint marginal structural model and ii) a Bayesian machine learning based methods to evaluate the causal comparative effectiveness of multiple treatment strategies. We will stratify our analyses for pre-ICU and post-ICU patients.  In Aim 2, we will develop a data-driven method to estimate the treatment effect heterogeneity, particularly in vulnerable subpopulations."
"Characteristics and Outcomes of Hospitalized Children with COVID-19","Lead Investigator: Kamakshya Patra","Accessing Institution: West Virginia University","Background: Children are at risk for severe SARS-Cov-2 infection. Epidemiology of SARS-COVID-19 in children is evolving and poorly characterized. There is paucity of literature regarding outcomes and predictive factors of hospitalized children. Projections indicate that incidence of COVID-19 may persist for several months. Clinical characteristics and outcomes of hospitalized children will be helpful for future resource utilization. Objectives:To study the characteristics and outcomes of children presenting with COVID-19 using a large multi-institutional dataset and a validated identification method. To study the factors predictive of adverse outcomes in hospitalized children."
"Characterization of long-COVID: definition, stratification, and multi-modal analysis","Lead Investigator: Tell Bennett","Accessing Institution: University of Colorado Anschutz Medical Campus",""Long COVID" patients have exhibited significant and heterogeneous symptoms such as fatigue, brain-fog, sleep disturbances, anxiety, and depression, etc. Therefore, there is an urgent need to use the data held within the N3C to perform stratification so as to provide a robust set of phenotypes for diagnosis and subsequent treatment management. A Long-COVID phenotype will support prognostic characterization of different substrata, potentially more precise care management, and greatly inform prospective interventional studies. We will describe the incidence, timing, and severity of sequelae of SARS-CoV-2 infection in adults and children and ascertain incidence rates across different demographic groups and differences in outcomes based upon early disease course characterization. The characterization will include public external datasets related to potential environmental and social determinants of health available in N3C. This is a N3C Consortium project."
"Chronic Pain in Long COVID","Lead Investigator: Joel Gagnier","Accessing Institution: University of Michigan?Ann Arbor","We aim to determine the existence of chronic pain those with a history of an acute COVID-19 infection and predictors of these conditions."
"Clinical Characterization of Critically-ill COVID-19 Patients based on Ventilation Strategy","Lead Investigator: Vignesh Subbian","Accessing Institution: University of Arizona","This project will define and characterize critical care cohorts based on ventilation strategies as well as clinical outcomes on COVID-19 patients that were mechanically ventilated versus those that received non-invasive ventilation therapies. Led by the N3C Critical Care Domain Team, the project will develop and evaluate a phenotyping algorithm to support the characterization of various cohorts based on ventilation therapy. As a feasibility study, the domain team will use de-identified data."
"Continued In-Hospital ACEi and ARB Use in Hypertensive COVID-19 Patients ","Lead Investigator: Tim Duong","Accessing Institution: Albert Einstein College of Medicine","We (Lam et al. J Infectious Disease, PMID: 32702098) recently reported that continued use of angiotensin-converting enzyme inhibitors (ACEi) or angiotensin II receptor blockers (ARB) during hospitalization of 614 hypertensive COVID-19 patients yields better clinical outcomes, compared to those who discontinue such drug hypertensive use in the hospital. This is important because all previous studies to date reported only neutral (non-negative) effects of continued hypertensive drug use during hospitalization, whereas we found that in-hospital continuation of ACEi/ARB use was associated with better outcomes compared to in-hospital discontinuation of ACEi/ARB use.      We attributed our novel finding to our accounting for the developed hypotension and acute kidney injury (AKI) during hospitalization. In other words, in the absence of hypotension or AKI, patients who continued ACEi/ARBs had lower mortality and critical illness rates compared to those who discontinued them, supporting the notion that continued ACEi/ARB use may have beneficial effects. Our findings came from a single academic hospital with small sample size. The main goal of this N3C proposal is to determine whether this finding is generalizable to the N3C cohort."
"Contribution of Race and other Social Determinants of Health to Disparities in Patient Outcomes in COVID-19","Lead Investigator: Xuan Han","Accessing Institution: University of Chicago","As the COVID-19 pandemic has progressed and increasing data has become available on patient outcomes, a striking pattern has emerged: Black and Hispanic Americans exhibit disproportionately high rates of positive diagnoses, hospitalizations, and deaths. These disparities, which have been demonstrated across the country, have generated significant concern. Numerous hypotheses have been proposed to explain them, addressing a wide range of topics from individual physiology to unequal access to care, but they remain incompletely understood. We aim to use the N3C Limited Data Set to better characterize these disparities and to investigate how various patient- and community-level factors may be contributing to them."
"Convalescent Plasma Administration Effect on COVID-19","Lead Investigator: Joy Alamgir","Accessing Institution: ARI Science","The purpose of this research is to assess the effect of Convalescent Plasma (CP) administration on COVID+ patients against 3 specific clinical endpoints. The endpoints are: death, time to recovery and organ failure. This is an important research as, despite spotty high quality trails data,  thousands of patients have received CP as part of the National Expanded Access Program (EAP) for convalescent plasma initiated in early April 2020 and under a subsequent Emergency Use Authorization (EUA) initiated in August 2020 for COVID. This study aims to either confirm or invalidate clinical endpoint effectiveness of such Convalescent Plasma administration using N3C data. As of the writing of this DUR there are around 4600 patients that have plasma administration records (both non-convalescent and convalescent plasma) with N3C. As this number seems lower than our expectation we plan to work with N3C data ingestion team to see if there could be data ingestion improvements to get a higher N for the analysis."
"COVID 19 disease outcomes in patients with Inflammatory bowel disease","Lead Investigator: Yousaf Hadi","Accessing Institution: West Virginia University","Patients with inflammatory bowel disease are frequently prescribed biologic agents and steroids for their gastrointestinal disease. Some preliminary data has suggested that IBD patients may be at risk of severe disease. We wish to study the clinical outcomes of COVID 19 in these patients including those with ulcerative colitis and Inflammatory bowel disease. We will compare risk of severe disease in patients on different biologic agents and those on no biologic medication."
"COVID 19 outcomes in Cardiooncology patients","Lead Investigator: Brijesh Patel","Accessing Institution: West Virginia University","Preliminary data showed that cancer and heart diseases are amongst common comorbidities in patients who died of COVID-19.  However, data on patients suffering from both cancer and heart diseases is unknown. Recent and concomitant chemotherapy use can mitigate immune response and make patients with cancer more prone to infection. Certain cardiac conditions such as heart failure could also worsen inflammatory state and subsequently blunting immune response. Thus, outcomes of patients with cancer and cardiac conditions could be worse. To date, no large scale data has looked at the outcomes of patients with cancers and co-existing cardiac conditions."
"COVID-19 and Air pollution","Lead Investigator: Bora Jin","Accessing Institution: Duke University","Aim to understand the effects of exposure to air pollution on vulnerability to COVID-19."
"COVID-19 and Percutaneous Catheterization Interventions: Modeling Risk of Serious Adverse Outcomes","Lead Investigator: John Davis","Accessing Institution: The University of Texas Medical Branch at Galveston","Little is known about the safety of percutaneous catheterization interventions (PCI) with subsequent COVID-19 infection. Because of the numerous thrombotic complications associated with COVID-19  infection, it is hypothesized that patients receiving PCI and subsequently infected with COVID-19 (within 90 days of PCI) will experience increased rates of stent thrombosis, sudden death, and new cardiovascular disease. Using the N3C database, we aim to assess the odds of suffering a composite endpoint -- PCI complication (defined as stent thrombosis, sudden death, or new myocardial infarction) -- in patients who were infected with COVID-19 within 90 days following PCI, as compared to patients who were not infected by COVID-19 within the same time frame. Logistic regression analysis is planned to assess for comparative odds of this severe composite outcome, while controlling for relevant co-morbidities and demographic factors."
"COVID-19 as a Heterogenous Process: Varying Underlying Pathophysiological Mechanisms at Different Time Points and Severities ","Lead Investigator: Stephen Lee","Accessing Institution: Oregon Health & Science University","It is likely that the SARS-CoV-2 virus? disease course is a heterogenous process, ranging from viral entry via the ACE2 receptor to replication and finally to inflammatory responses that may underlie acute respiratory distress syndrome. Using a de-identified data set, we hope to better differentiate the different processes within the disease by 1) characterizing clinical characteristics of various time points and severities as well as 2) looking at effects of medications."
"COVID-19 impact on pregnancy and fetal wellbeing","Lead Investigator: Li Li","Accessing Institution: Mount Sinai Genomics Inc","Scientific Goals: To determine the impact of COVID-19 on of fetal loss rates, preterm birth, and growth restriction. Secondary outcomes include preterm birth and other complications of pregnancy that have underlying placental abnormalities.Objectives, designs, and plans: The COVID-19 pandemic has caused substantial mortality. Sema4 carried out a pilot study using COVID-19 data from the Mount Sinai Health System EMR. Our pilot study results are detailed in a manuscript entitled ?Analysis of hospitalized COVID-19 patients in the Mount Sinai Health System using electronic medical records (EMR) reveals important prognostic factors for improved clinical outcomes? (MedRxiv and accepted by BMJ open). We realized that a significant number of critical data fields are needed in EMR, which will lead a better systematic evaluation on the safety and efficacy of different treatments, as well as identification of additional risk factors for prognostic outcomes. We believe the N3C COVID data provides the opportunity for a more expansive assessment of the impacts of COVID-19 on human disease and wellness, and a richer dataset to build and test predictive models that may better assess the risk of complications from COVID-19. Recent studies have raised significant concern for pregnant women and the adverse impacts on the fetus as a result of COVID. Therefore, we will apply state-of-art machine learning methods to analyze pregnancy journey with deliveries on multi-centers? data from N3C to assess clinical outcomes impacted by COVID-19 and subgroup analysis as well as to identify the risks of prediction models for better managing outcomes in clinical practice."
